fragment_length	threshold_95	threshold_99
292	1.6653387529759962	2.0512891300131617
293	1.6602716501377142	2.038639891085721
294	1.670896905167783	2.054870061405743
295	1.6809855936251092	2.056589139717587
296	1.6943655648896458	2.092181025875117
297	1.6915426096125157	2.071933501794525
298	1.6974653092409515	2.1358418899932436
299	1.7061664692758185	2.1365588004737797
300	1.7221246092867202	2.1641456581992107
301	1.7444907260860596	2.167854630898825
302	1.7399973896635026	2.150859482575325
303	1.73883309211862	2.1832993353156387
304	1.7644640754008991	2.2374695232185284
305	1.7753830486076796	2.261048770454365
306	1.7801683506603947	2.2895187549620313
307	1.7851522425545732	2.295191427701377
308	1.8022717942830866	2.358380068535507
309	1.820016812119359	2.379658458967753
310	1.8318358131372046	2.417270661307358
311	1.8294056807861574	2.3966439299090037
312	1.8436223449902205	2.4370544737154862
313	1.8534411899918202	2.4664014931048177
314	1.879825531454635	2.5116358219181265
315	1.886940883586587	2.505284918777262
316	1.8803043628418108	2.4938125976935694
317	1.8984013015257801	2.537659059087619
318	1.914719900257854	2.6024962516451153
319	1.9138773641120355	2.556303986314489
320	1.915190865815979	2.5835632716030648
321	1.9448945163543692	2.616715887684114
322	1.9600154271185934	2.6700409895099058
323	1.9609451113219627	2.683654054346981
324	1.9670273358513402	2.6993270972007872
325	1.9817119002171164	2.7133545003884545
326	2.0011863166476083	2.776622857323217
327	2.0046455447875355	2.816563289334451
328	1.9936592135147566	2.793511267889382
329	2.013433964969473	2.827963803662871
330	2.0293863001243326	2.886634628052062
331	2.0346217276421905	2.907878883699665
332	2.0395005995915416	2.9081595243364604
333	2.0467902509731024	2.978292691969602
334	2.0554914093842167	2.9804699991876924
335	2.0652899539861846	2.9965143376249626
336	2.0792873721152647	3.038934626699671
337	2.0874514981888987	3.08175082248241
338	2.0937186786983952	3.060425631720122
339	2.0883297920393606	3.0666621817450483
340	2.1017841336809115	3.099265663359744
341	2.111304184805089	3.150326052684483
342	2.121370303244659	3.1264372365045427
343	2.11739221000844	3.1659865979736175
344	2.1255566898398546	3.195499517313825
345	2.1478844869374814	3.231240110596879
346	2.1620602143888945	3.2544596932978465
347	2.1690873456666497	3.2977748390664012
348	2.192991592865993	3.3353548883712487
349	2.2033979750362422	3.3772220922187044
